seed,nx,ny,nz,sent_tail_radius,repair_tail_frac,W_decay,BSI,RFC,RLI,SPI,D_q50,D_q95,sent_q95
3,48,48,3,14,0.85,0.0008,0.98598,0.709382,0,0,4.70542,13.7792,0.120812
4,48,48,3,14,0.85,0.0008,0.985705,0.251325,0,0,4.70278,13.7802,0.121944
1,48,48,3,14,0.85,0.001,0.986505,0.95217,0,0.0144928,4.73057,13.892,0.121393
2,48,48,3,14,0.85,0.001,0.986758,0.794062,0,0.0217391,4.741,13.9412,0.121465
3,48,48,3,14,0.85,0.001,0.985859,0.717511,0,0,4.70463,13.7749,0.120862
4,48,48,3,14,0.85,0.001,0.985641,0.251195,0,0,4.70371,13.7758,0.12186
1,48,48,3,14,0.85,0.002,0.985103,0.911778,0,0,4.70038,13.7656,0.12122
2,48,48,3,14,0.85,0.002,0.987341,0.870214,0,0.0217391,4.73919,13.9391,0.121582
3,48,48,3,14,0.85,0.002,0.985646,0.704787,0,0,4.70463,13.7855,0.12085
3,48,48,3,2,0.65,0.0004,1.02411,0.711609,0,0.0362319,1.67804,9.05676,0.189725
4,48,48,3,14,0.85,0.002,0.985579,0.250195,0,0,4.70241,13.7735,0.12186
1,48,48,3,14,0.9,0,0.987588,0.830205,0,0,4.88973,14.4732,0.119774
2,48,48,3,14,0.9,0,0.987855,0.639181,0,0,4.88885,14.4633,0.120037
3,48,48,3,14,0.9,0,0.98833,0.704098,0,0,4.8929,14.4786,0.119127
4,48,48,3,14,0.9,0,0.988664,0.387371,0,0,4.89219,14.4812,0.120271
1,48,48,3,14,0.9,0.0001,0.987402,0.830432,0,0,4.89005,14.475,0.119771
2,48,48,3,14,0.9,0.0001,0.98744,0.628389,0,0,4.88891,14.466,0.120039
3,48,48,3,14,0.9,0.0001,0.988475,0.686284,0,0,4.89273,14.4804,0.119127
4,48,48,3,14,0.9,0.0001,0.988643,0.387469,0,0,4.8925,14.4797,0.120248
1,48,48,3,14,0.9,0.0002,0.987567,0.829852,0,0,4.88959,14.4758,0.119771
4,48,48,3,2,0.65,0.0004,1.01937,0.561308,0,0.0507246,1.64385,8.91399,0.184198
2,48,48,3,14,0.9,0.0002,0.987741,0.627985,0,0,4.88909,14.4667,0.120042
3,48,48,3,14,0.9,0.0002,0.988662,0.783287,0,0,4.89332,14.4796,0.11913
4,48,48,3,14,0.9,0.0002,0.988659,0.357686,0,0,4.8921,14.4805,0.120339
1,48,48,3,14,0.9,0.0004,0.98745,0.82991,0,0,4.88982,14.4753,0.119773
2,48,48,3,14,0.9,0.0004,0.987507,0.639257,0,0,4.88878,14.4655,0.120043
3,48,48,3,14,0.9,0.0004,0.988315,0.69306,0,0,4.89373,14.4778,0.11913
4,48,48,3,14,0.9,0.0004,0.988357,0.387522,0,0,4.89164,14.481,0.120338
1,48,48,3,14,0.9,0.0006,0.987461,0.830029,0,0,4.89002,14.4758,0.119775
2,48,48,3,14,0.9,0.0006,0.98746,0.628067,0,0,4.88925,14.4665,0.12005
3,48,48,3,14,0.9,0.0006,0.988288,0.619295,0,0,4.89421,14.4807,0.119127
1,48,48,3,2,0.65,0.0006,1.01818,0.664306,0,0.0434783,1.58451,8.90729,0.188138
4,48,48,3,14,0.9,0.0006,0.988508,0.359454,0,0,4.89188,14.4821,0.120331
1,48,48,3,14,0.9,0.0008,0.987114,0.820188,0,0,4.8899,14.4767,0.119772
2,48,48,3,14,0.9,0.0008,0.987508,0.627591,0,0,4.88899,14.4652,0.120058
3,48,48,3,14,0.9,0.0008,0.988422,0.686069,0,0,4.89333,14.4807,0.119133
4,48,48,3,14,0.9,0.0008,0.988664,0.387389,0,0,4.89204,14.4808,0.120305
1,48,48,3,14,0.9,0.001,0.987259,0.83015,0,0,4.88984,14.48,0.119774
2,48,48,3,14,0.9,0.001,0.987515,0.638709,0,0,4.88903,14.4656,0.120077
3,48,48,3,14,0.9,0.001,0.988264,0.639289,0,0,4.89403,14.4833,0.119129
4,48,48,3,14,0.9,0.001,0.988612,0.387751,0,0,4.89263,14.4807,0.120297
1,48,48,3,14,0.9,0.002,0.98779,0.839968,0,0,4.89006,14.4799,0.119777
2,48,48,3,2,0.65,0.0006,1.02349,0.724039,0,0.0362319,1.58208,8.6734,0.184471
2,48,48,3,14,0.9,0.002,0.98749,0.667612,0,0,4.88906,14.4633,0.120087
3,48,48,3,14,0.9,0.002,0.987995,0.640635,0,0,4.89448,14.4848,0.11912
4,48,48,3,14,0.9,0.002,0.988431,0.385031,0,0,4.89301,14.482,0.120249
1,48,48,3,18,0.5,0,1.03324,0.819489,0,0.0217391,1.9276,8.47066,0.189552
2,48,48,3,18,0.5,0,1.03724,0.633074,0,0,1.91058,8.59241,0.192481
3,48,48,3,18,0.5,0,1.03495,0.441658,0,0.0434783,2.00848,8.91209,0.187131
4,48,48,3,18,0.5,0,1.03336,0.595975,0,0.0217391,1.84317,8.51476,0.18744
1,48,48,3,18,0.5,0.0001,1.02834,0.583108,0,0.0144928,1.55957,7.84388,0.188148
2,48,48,3,18,0.5,0.0001,1.02625,0.539218,0,0.057971,1.60814,8.02152,0.189431
3,48,48,3,18,0.5,0.0001,1.02486,0.852832,0,0.0289855,1.61827,8.20691,0.189008
3,48,48,3,2,0.65,0.0006,1.02335,0.30305,0,0.0507246,1.53279,8.84858,0.186938
4,48,48,3,18,0.5,0.0001,1.02987,0.280756,0,0.0362319,1.71142,7.96498,0.189454
