sent_tail_radius,repair_tail_frac,W_decay
1,0.63,0.0002
1,0.63,0.00022
1,0.63,0.00025
1,0.63,0.0003
1,0.63,0.00036
1,0.63,0.0004
1,0.63,0.00044
1,0.63,0.00045
1,0.63,0.0005
1,0.63,0.00054
1,0.63,0.0006
1,0.63,0.00066
1,0.63,0.00075
1,0.63,0.0009
1,0.63,0.001
1,0.63,0.0015
1,0.63,0.0018
1,0.63,0.002
1,0.63,0.0022
1,0.63,0.0025
1,0.63,0.003
1,0.64,0.0
1,0.64,1e-06
1,0.64,5e-05
1,0.64,7.5e-05
1,0.64,9e-05
1,0.64,0.0001
1,0.64,0.00011
1,0.64,0.000125
1,0.64,0.00015
1,0.64,0.00018
1,0.64,0.0002
1,0.64,0.00022
1,0.64,0.00025
1,0.64,0.0003
1,0.64,0.00036
1,0.64,0.0004
1,0.64,0.00044
1,0.64,0.00045
1,0.64,0.0005
1,0.64,0.00054
1,0.64,0.0006
1,0.64,0.00066
1,0.64,0.00075
1,0.64,0.0009
1,0.64,0.001
1,0.64,0.0015
1,0.64,0.0018
1,0.64,0.002
1,0.64,0.0022
1,0.64,0.0025
1,0.64,0.003
1,0.645,0.0
1,0.645,1e-06
1,0.645,5e-05
1,0.645,7.5e-05
1,0.645,9e-05
1,0.645,0.0001
1,0.645,0.00011
1,0.645,0.000125
1,0.645,0.00015
1,0.645,0.00018
1,0.645,0.0002
1,0.645,0.00022
1,0.645,0.00025
1,0.645,0.0003
1,0.645,0.00036
1,0.645,0.0004
1,0.645,0.00044
1,0.645,0.00045
1,0.645,0.0005
1,0.645,0.00054
1,0.645,0.0006
1,0.645,0.00066
1,0.645,0.00075
1,0.645,0.0009
1,0.645,0.001
1,0.645,0.0015
1,0.645,0.0018
1,0.645,0.002
1,0.645,0.0022
1,0.645,0.0025
1,0.645,0.003
1,0.65,0.0
1,0.65,1e-06
1,0.65,5e-05
1,0.65,7.5e-05
1,0.65,9e-05
1,0.65,0.0001
1,0.65,0.00011
1,0.65,0.000125
1,0.65,0.00015
1,0.65,0.00018
1,0.65,0.0002
1,0.65,0.00022
1,0.65,0.00025
1,0.65,0.0003
1,0.65,0.00036
1,0.65,0.0004
1,0.65,0.00044
1,0.65,0.00045
1,0.65,0.0005
1,0.65,0.00054
1,0.65,0.0006
1,0.65,0.00066
1,0.65,0.00075
1,0.65,0.0009
1,0.65,0.001
1,0.65,0.0015
1,0.65,0.0018
1,0.65,0.002
1,0.65,0.0022
1,0.65,0.0025
1,0.65,0.003
1,0.655,0.0
1,0.655,1e-06
1,0.655,5e-05
1,0.655,7.5e-05
1,0.655,9e-05
1,0.655,0.0001
1,0.655,0.00011
1,0.655,0.000125
1,0.655,0.00015
1,0.655,0.00018
1,0.655,0.0002
1,0.655,0.00022
1,0.655,0.00025
1,0.655,0.0003
1,0.655,0.00036
1,0.655,0.0004
1,0.655,0.00044
1,0.655,0.00045
1,0.655,0.0005
1,0.655,0.00054
1,0.655,0.0006
1,0.655,0.00066
1,0.655,0.00075
1,0.655,0.0009
1,0.655,0.001
1,0.655,0.0015
1,0.655,0.0018
1,0.655,0.002
